"u(x,t)",x,t
0.9745268727865771,-0.5720000000000001,0.0
0.9772681235681934,-0.5680000000000001,0.0
0.9798550523842469,-0.5640000000000001,0.0
0.9822872507286886,-0.56,0.0
0.9845643345292053,-0.556,0.0
0.986685944207868,-0.552,0.0
0.988651744737914,-0.548,0.0
0.9904614256966512,-0.544,0.0
0.9921147013144778,-0.54,0.0
0.9936113105200084,-0.536,0.0
0.9949510169813002,-0.532,0.0
0.9961336091431725,-0.528,0.0
0.9971589002606139,-0.524,0.0
0.9980267284282716,-0.52,0.0
0.9987369566060175,-0.516,0.0
0.9992894726405892,-0.512,0.0
0.9996841892832999,-0.508,0.0
0.9999210442038161,-0.504,0.0
1.0,-0.5,0.0
0.9999210442038161,-0.496,0.0
0.9996841892832999,-0.492,0.0
0.9992894726405892,-0.488,0.0
0.9987369566060175,-0.484,0.0
0.9980267284282716,-0.48,0.0
0.9971589002606139,-0.476,0.0
0.9961336091431725,-0.472,0.0
0.9949510169813002,-0.46799999999999997,0.0
0.9936113105200084,-0.46399999999999997,0.0
0.9921147013144778,-0.45999999999999996,0.0
0.9904614256966512,-0.45599999999999996,0.0
0.988651744737914,-0.45199999999999996,0.0
0.986685944207868,-0.44799999999999995,0.0
0.9845643345292053,-0.44399999999999995,0.0
0.9822872507286886,-0.43999999999999995,0.0
0.9798550523842469,-0.43599999999999994,0.0
0.9772681235681934,-0.43199999999999994,0.0
0.9745268727865771,-0.42799999999999994,0.0
0.9716317329146739,-0.42399999999999993,0.0
0.9685831611286311,-0.42000000000000004,0.0
0.9653816388332739,-0.41600000000000004,0.0
0.9620276715860859,-0.41200000000000003,0.0
0.9585217890173758,-0.40800000000000003,0.0
0.954864544746643,-0.404,0.0
0.9510565162951535,-0.4,0.0
0.9470983049947443,-0.396,0.0
0.9429905358928644,-0.392,0.0
0.9387338576538741,-0.388,0.0
0.934328942456612,-0.384,0.0
0.9297764858882513,-0.38,0.0
0.925077206834458,-0.376,0.0
0.9202318473658703,-0.372,0.0
0.9152411726209175,-0.368,0.0
0.9101059706849957,-0.364,0.0
0.9048270524660196,-0.36,0.0
0.899405251566371,-0.356,0.0
0.8938414241512637,-0.352,0.0
0.8881364488135445,-0.348,0.0
0.8822912264349532,-0.344,0.0
0.8763066800438636,-0.33999999999999997,0.0
0.8701837546695256,-0.33599999999999997,0.0
0.8639234171928353,-0.33199999999999996,0.0
0.8575266561936522,-0.32799999999999996,0.0
0.8509944817946917,-0.32399999999999995,0.0
0.844327925502015,-0.31999999999999995,0.0
0.8375280400421417,-0.31599999999999995,0.0
0.8305958991958126,-0.31199999999999994,0.0
0.8235325976284272,-0.30799999999999994,0.0
0.8163392507171838,-0.30399999999999994,0.0
0.8090169943749472,-0.29999999999999993,0.0
0.8015669848708766,-0.29600000000000004,0.0
0.7939903986478354,-0.29200000000000004,0.0
0.7862884321366189,-0.28800000000000003,0.0
0.7784623015670235,-0.28400000000000003,0.0
0.7705132427757893,-0.28,0.0
0.7624425110114479,-0.276,0.0
0.7542513807361038,-0.272,0.0
0.7459411454241821,-0.268,0.0
0.7375131173581739,-0.264,0.0
0.7289686274214116,-0.26,0.0
0.7203090248879069,-0.256,0.0
0.7115356772092853,-0.252,0.0
0.7026499697988492,-0.248,0.0
0.6936533058128049,-0.244,0.0
0.6845471059286886,-0.24,0.0
0.6753328081210244,-0.236,0.0
0.6660118674342516,-0.23199999999999998,0.0
0.6565857557529564,-0.22799999999999998,0.0
0.6470559615694442,-0.22399999999999998,0.0
0.6374239897486896,-0.21999999999999997,0.0
0.6276913612907004,-0.21599999999999997,0.0
0.6178596130903342,-0.21199999999999997,0.0
0.6079302976946053,-0.20799999999999996,0.0
0.5979049830575187,-0.20399999999999996,0.0
0.587785252292473,-0.19999999999999996,0.0
0.5775727034222675,-0.19599999999999995,0.0
0.5672689491267563,-0.19199999999999995,0.0
0.5568756164881878,-0.18799999999999994,0.0
0.5463943467342689,-0.18399999999999994,0.0
0.5358267949789964,-0.17999999999999994,0.0
0.5251746299612955,-0.17599999999999993,0.0
0.5144395337815063,-0.17199999999999993,0.0
0.5036232016357607,-0.16799999999999993,0.0
0.4927273415482917,-0.16400000000000003,0.0
0.4817536741017153,-0.16000000000000003,0.0
0.47070393216533263,-0.15600000000000003,0.0
0.45957986062148787,-0.15200000000000002,0.0
0.4483832160900323,-0.14800000000000002,0.0
0.43711576665093294,-0.14400000000000002,0.0
0.4257792915650727,-0.14,0.0
0.41437558099328414,-0.136,0.0
0.40290643571366264,-0.132,0.0
0.3913736668372024,-0.128,0.0
0.37977909552180106,-0.124,0.0
0.3681245526846779,-0.12,0.0
0.3564118787132507,-0.11599999999999999,0.0
0.34464292317451706,-0.11199999999999999,0.0
0.33281954452298657,-0.10799999999999998,0.0
0.32094360980720943,-0.10399999999999998,0.0
0.30901699437494734,-0.09999999999999998,0.0
0.2970415815770348,-0.09599999999999997,0.0
0.285019262469976,-0.09199999999999997,0.0
0.2729519355173251,-0.08799999999999997,0.0
0.26084150628989683,-0.08399999999999996,0.0
0.24868988716485463,-0.07999999999999996,0.0
0.23649899702372454,-0.07599999999999996,0.0
0.22427076094938103,-0.07199999999999995,0.0
0.2120071099220545,-0.06799999999999995,0.0
0.19970998051440683,-0.06399999999999995,0.0
0.18738131458572446,-0.05999999999999994,0.0
